filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,always-inline,always-inline,0.001916220,0.001764919,0.078957711,"module(always-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,assign-guid,always-inline,0.001916220,0.001722198,0.101252291,"module(assign-guid,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,called-value-propagation,always-inline,0.001916220,0.001662606,0.132351037,"module(called-value-propagation,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,canonicalize-aliases,always-inline,0.001916220,0.001809414,0.055737829,"module(canonicalize-aliases,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,constmerge,always-inline,0.001916220,0.001741734,0.091057358,"module(constmerge,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,coro-cleanup,always-inline,0.001916220,0.001721313,0.101714337,"module(coro-cleanup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,ctx-prof-flatten,always-inline,0.001916220,0.001877173,0.020376800,"module(ctx-prof-flatten,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,noinline-nonprevailing,always-inline,0.001916220,0.001807767,0.056597226,"module(noinline-nonprevailing,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,deadargelim,always-inline,0.001916220,0.001856907,0.030953042,"module(deadargelim,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,elim-avail-extern,always-inline,0.001916220,0.001661085,0.133144871,"module(elim-avail-extern,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,extract-blocks,always-inline,0.001916220,0.001579167,0.175894493,"module(extract-blocks,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,expand-variadics,always-inline,0.001916220,0.001668079,0.129494844,"module(expand-variadics,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,forceattrs,always-inline,0.001916220,0.001891254,0.013028929,"module(forceattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,global-merge-func,always-inline,0.001916220,0.001817298,0.051623478,"module(global-merge-func,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,hotcoldsplit,always-inline,0.001916220,0.001682536,0.121950360,"module(hotcoldsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,inferattrs,always-inline,0.001916220,0.001763027,0.079945082,"module(inferattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,jmc-instrumenter,always-inline,0.001916220,0.001717229,0.103845533,"module(jmc-instrumenter,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,cgscc(function-attrs),always-inline,0.001916220,0.001685177,0.120572084,"module(cgscc(function-attrs),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,cgscc(inline),always-inline,0.001916220,0.001819040,0.050714232,"module(cgscc(inline),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(aggressive-instcombine),always-inline,0.001916220,0.001742284,0.090770408,"module(function(aggressive-instcombine),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(alignment-from-assumptions),always-inline,0.001916220,0.001868390,0.024960713,"module(function(alignment-from-assumptions),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(assume-builder),always-inline,0.001916220,0.001844740,0.037302716,"module(function(assume-builder),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(assume-simplify),always-inline,0.001916220,0.001823647,0.048310385,"module(function(assume-simplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(atomic-expand),always-inline,0.001916220,0.001708102,0.108608482,"module(function(atomic-expand),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(complex-deinterleaving),always-inline,0.001916220,0.001826525,0.046808301,"module(function(complex-deinterleaving),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(constraint-elimination),always-inline,0.001916220,0.001796667,0.062389861,"module(function(constraint-elimination),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(dse),always-inline,0.001916220,0.001580719,0.175084983,"module(function(dse),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(expand-memcmp),always-inline,0.001916220,0.001879513,0.019155730,"module(function(expand-memcmp),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(expand-reductions),always-inline,0.001916220,0.001869336,0.024467085,"module(function(expand-reductions),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(gc-lowering),always-inline,0.001916220,0.001891145,0.013085666,"module(function(gc-lowering),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(gvn-sink),always-inline,0.001916220,0.001744976,0.089365480,"module(function(gvn-sink),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(instsimplify),always-inline,0.001916220,0.001880235,0.018778950,"module(function(instsimplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(interleaved-load-combine),always-inline,0.001916220,0.001780267,0.070948347,"module(function(interleaved-load-combine),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop-load-elim),always-inline,0.001916220,0.001879237,0.019299632,"module(function(loop-load-elim),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(lower-invoke),always-inline,0.001916220,0.001877819,0.020039834,"module(function(lower-invoke),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(mem2reg),always-inline,0.001916220,0.001865443,0.026498226,"module(function(mem2reg),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(move-auto-init),always-inline,0.001916220,0.001809483,0.055701680,"module(function(move-auto-init),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(scalarize-masked-mem-intrin),always-inline,0.001916220,0.001678209,0.124208479,"module(function(scalarize-masked-mem-intrin),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(sink),always-inline,0.001916220,0.001645269,0.141398548,"module(function(sink),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(sjlj-eh-prepare),always-inline,0.001916220,0.001785964,0.067975151,"module(function(sjlj-eh-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(slp-vectorizer),always-inline,0.001916220,0.001600780,0.164615700,"module(function(slp-vectorizer),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(transform-warning),always-inline,0.001916220,0.001895782,0.010665576,"module(function(transform-warning),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(typepromotion),always-inline,0.001916220,0.001688942,0.118607128,"module(function(typepromotion),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(unify-loop-exits),always-inline,0.001916220,0.001773825,0.074310117,"module(function(unify-loop-exits),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(vector-combine),always-inline,0.001916220,0.001832941,0.043459948,"module(function(vector-combine),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(wasm-eh-prepare),always-inline,0.001916220,0.001749325,0.087095988,"module(function(wasm-eh-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(extra-simple-loop-unswitch-passes)),always-inline,0.001916220,0.001754559,0.084364645,"module(function(loop(extra-simple-loop-unswitch-passes)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(indvars)),always-inline,0.001916220,0.001606990,0.161374883,"module(function(loop(indvars)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-bound-split)),always-inline,0.001916220,0.001859396,0.029654064,"module(function(loop(loop-bound-split)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-deletion)),always-inline,0.001916220,0.001689204,0.118470557,"module(function(loop(loop-deletion)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-idiom)),always-inline,0.001916220,0.001844037,0.037669224,"module(function(loop(loop-idiom)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-versioning-licm)),always-inline,0.001916220,0.001812042,0.054366547,"module(function(loop(loop-versioning-licm)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-rotate)),always-inline,0.001916220,0.001792414,0.064609509,"module(function(loop(loop-rotate)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(simple-loop-unswitch)),always-inline,0.001916220,0.001823180,0.048553701,"module(function(loop(simple-loop-unswitch)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,cross-dso-cfi,annotation2metadata,0.001905265,0.001808372,0.050855560,"module(cross-dso-cfi,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,ctx-prof-flatten,annotation2metadata,0.001905265,0.001704821,0.105205220,"module(ctx-prof-flatten,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,declare-runtime-libcalls,annotation2metadata,0.001905265,0.001786314,0.062432933,"module(declare-runtime-libcalls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,dxil-upgrade,annotation2metadata,0.001905265,0.001777857,0.066871678,"module(dxil-upgrade,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,elim-avail-extern,annotation2metadata,0.001905265,0.001708741,0.103148093,"module(elim-avail-extern,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,extract-blocks,annotation2metadata,0.001905265,0.001728606,0.092721287,"module(extract-blocks,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,expand-variadics,annotation2metadata,0.001905265,0.001744894,0.084172633,"module(expand-variadics,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,forceattrs,annotation2metadata,0.001905265,0.001751088,0.080921713,"module(forceattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,global-merge-func,annotation2metadata,0.001905265,0.001704861,0.105184219,"module(global-merge-func,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,globalopt,annotation2metadata,0.001905265,0.001869873,0.018575928,"module(globalopt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,globalsplit,annotation2metadata,0.001905265,0.001698256,0.108650841,"module(globalsplit,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,hipstdpar-interpose-alloc,annotation2metadata,0.001905265,0.001646147,0.136001023,"module(hipstdpar-interpose-alloc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,hipstdpar-math-fixup,annotation2metadata,0.001905265,0.001727153,0.093484320,"module(hipstdpar-math-fixup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,hotcoldsplit,annotation2metadata,0.001905265,0.001610755,0.154577133,"module(hotcoldsplit,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,inferattrs,annotation2metadata,0.001905265,0.001839856,0.034330815,"module(inferattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,lower-global-dtors,annotation2metadata,0.001905265,0.001685269,0.115467295,"module(lower-global-dtors,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,lowertypetests,annotation2metadata,0.001905265,0.001665244,0.125977763,"module(lowertypetests,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,metarenamer,annotation2metadata,0.001905265,0.001708148,0.103458835,"module(metarenamer,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,module-inline,annotation2metadata,0.001905265,0.001725674,0.094260269,"module(module-inline,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,name-anon-globals,annotation2metadata,0.001905265,0.001644832,0.136691371,"module(name-anon-globals,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,recompute-globalsaa,annotation2metadata,0.001905265,0.001816078,0.046810776,"module(recompute-globalsaa,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,cgscc(coro-split),annotation2metadata,0.001905265,0.001602819,0.158742352,"module(cgscc(coro-split),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,cgscc(function-attrs),annotation2metadata,0.001905265,0.001720829,0.096803339,"module(cgscc(function-attrs),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,cgscc(inline),annotation2metadata,0.001905265,0.001604817,0.157693549,"module(cgscc(inline),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(adce),annotation2metadata,0.001905265,0.001643954,0.137151808,"module(function(adce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(add-discriminators),annotation2metadata,0.001905265,0.001732343,0.090760032,"module(function(add-discriminators),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(aggressive-instcombine),annotation2metadata,0.001905265,0.001670427,0.123257267,"module(function(aggressive-instcombine),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(annotation-remarks),annotation2metadata,0.001905265,0.001584920,0.168136873,"module(function(annotation-remarks),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(assume-builder),annotation2metadata,0.001905265,0.001641654,0.138358988,"module(function(assume-builder),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(assume-simplify),annotation2metadata,0.001905265,0.001762401,0.074983835,"module(function(assume-simplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(dfa-jump-threading),annotation2metadata,0.001905265,0.001789000,0.061022879,"module(function(dfa-jump-threading),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(div-rem-pairs),annotation2metadata,0.001905265,0.001673571,0.121607297,"module(function(div-rem-pairs),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(dse),annotation2metadata,0.001905265,0.001722358,0.096000586,"module(function(dse),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(expand-memcmp),annotation2metadata,0.001905265,0.001807057,0.051545552,"module(function(expand-memcmp),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(expand-reductions),annotation2metadata,0.001905265,0.001805909,0.052148179,"module(function(expand-reductions),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(extra-vector-passes),annotation2metadata,0.001905265,0.001803661,0.053328224,"module(function(extra-vector-passes),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(fix-irreducible),annotation2metadata,0.001905265,0.001803152,0.053595364,"module(function(fix-irreducible),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(flatten-cfg),annotation2metadata,0.001905265,0.001826320,0.041435373,"module(function(flatten-cfg),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(float2int),annotation2metadata,0.001905265,0.001834152,0.037324376,"module(function(float2int),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(guard-widening),annotation2metadata,0.001905265,0.001669106,0.123950624,"module(function(guard-widening),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(gvn-hoist),annotation2metadata,0.001905265,0.001691517,0.112188053,"module(function(gvn-hoist),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(gvn-sink),annotation2metadata,0.001905265,0.001721550,0.096424718,"module(function(gvn-sink),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(infer-address-spaces),annotation2metadata,0.001905265,0.001766451,0.072858010,"module(function(infer-address-spaces),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(instsimplify),annotation2metadata,0.001905265,0.001797076,0.056784010,"module(function(instsimplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(interleaved-access),annotation2metadata,0.001905265,0.001765220,0.073504251,"module(function(interleaved-access),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(interleaved-load-combine),annotation2metadata,0.001905265,0.001699402,0.108049607,"module(function(interleaved-load-combine),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(irce),annotation2metadata,0.001905265,0.001772476,0.069695970,"module(function(irce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(jump-threading),annotation2metadata,0.001905265,0.001637837,0.140362750,"module(function(jump-threading),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(lcssa),annotation2metadata,0.001905265,0.001758601,0.076978207,"module(function(lcssa),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(libcalls-shrinkwrap),annotation2metadata,0.001905265,0.001650278,0.133833064,"module(function(libcalls-shrinkwrap),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(load-store-vectorizer),annotation2metadata,0.001905265,0.001700996,0.107212790,"module(function(load-store-vectorizer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop-data-prefetch),annotation2metadata,0.001905265,0.001686118,0.115021765,"module(function(loop-data-prefetch),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(partially-inline-libcalls),annotation2metadata,0.001905265,0.001875997,0.015361464,"module(function(partially-inline-libcalls),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(tailcallelim),annotation2metadata,0.001905265,0.001859191,0.024182367,"module(function(tailcallelim),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(transform-warning),annotation2metadata,0.001905265,0.001731649,0.091124171,"module(function(transform-warning),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(unreachableblockelim),annotation2metadata,0.001905265,0.001788698,0.061181602,"module(function(unreachableblockelim),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(cfguard),annotation2metadata,0.001905265,0.001765561,0.073325092,"module(function(cfguard),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(extra-simple-loop-unswitch-passes)),annotation2metadata,0.001905265,0.001743248,0.085036286,"module(function(loop(extra-simple-loop-unswitch-passes)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-bound-split)),annotation2metadata,0.001905265,0.001703675,0.105806532,"module(function(loop(loop-bound-split)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-deletion)),annotation2metadata,0.001905265,0.001746473,0.083343885,"module(function(loop(loop-deletion)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-idiom)),annotation2metadata,0.001905265,0.001724902,0.094665796,"module(function(loop(loop-idiom)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-idiom-vectorize)),annotation2metadata,0.001905265,0.001877378,0.014637019,"module(function(loop(loop-idiom-vectorize)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,function(loop(loop-instsimplify)),annotation2metadata,0.001905265,0.001703749,0.105767905,"module(function(loop(loop-instsimplify)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,annotation2metadata,assign-guid,0.001845193,0.001734742,0.059858862,"module(annotation2metadata,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,assign-guid,assign-guid,0.001845193,0.001747575,0.052903945,"module(assign-guid,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,coro-cleanup,assign-guid,0.001845193,0.001674013,0.092770762,"module(coro-cleanup,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,ctx-prof-flatten,assign-guid,0.001845193,0.001661494,0.099555326,"module(ctx-prof-flatten,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,deadargelim,assign-guid,0.001845193,0.001792234,0.028700969,"module(deadargelim,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,declare-runtime-libcalls,assign-guid,0.001845193,0.001803263,0.022723649,"module(declare-runtime-libcalls,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,dxil-upgrade,assign-guid,0.001845193,0.001717453,0.069228581,"module(dxil-upgrade,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,forceattrs,assign-guid,0.001845193,0.001782540,0.033954446,"module(forceattrs,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,lower-global-dtors,assign-guid,0.001845193,0.001771582,0.039893137,"module(lower-global-dtors,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,simplify-type-tests,assign-guid,0.001845193,0.001810639,0.018726344,"module(simplify-type-tests,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,lowertypetests,assign-guid,0.001845193,0.001787193,0.031433074,"module(lowertypetests,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,rpo-function-attrs,assign-guid,0.001845193,0.001678350,0.090420239,"module(rpo-function-attrs,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,shadow-stack-gc-lowering,assign-guid,0.001845193,0.001806051,0.021212904,"module(shadow-stack-gc-lowering,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,strip-dead-debug-info,assign-guid,0.001845193,0.001660104,0.100308528,"module(strip-dead-debug-info,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy_if.pass_-O2.ll,0.002092130,strip-nondebug,assign-guid,0.001845193,0.001793586,0.027967961,"module(strip-nondebug,assign-guid)"
