filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,dxil-upgrade,coro-early,0.001644218,0.001620537,0.014402623,"module(dxil-upgrade,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(loop-data-prefetch),coro-early,0.001644218,0.001618159,0.015849038,"module(function(loop-data-prefetch),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(mergeicmps),coro-early,0.001644218,0.001595088,0.029880578,"module(function(mergeicmps),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(move-auto-init),coro-early,0.001644218,0.001606809,0.022751843,"module(function(move-auto-init),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(replace-with-veclib),coro-early,0.001644218,0.001627457,0.010193812,"module(function(replace-with-veclib),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,extract-blocks,global-merge-func,0.001648981,0.001599358,0.030092905,"module(extract-blocks,global-merge-func)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,loop-extract,global-merge-func,0.001648981,0.001625896,0.013999513,"module(loop-extract,global-merge-func)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(adce),global-merge-func,0.001648981,0.001631888,0.010366083,"module(function(adce),global-merge-func)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(sandbox-vectorizer),global-merge-func,0.001648981,0.001581660,0.040825758,"module(function(sandbox-vectorizer),global-merge-func)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(hardware-loops),global-merge-func,0.001648981,0.001623606,0.015388101,"module(function(hardware-loops),global-merge-func)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,module-inline,lower-emutls,0.001645416,0.001596930,0.029467562,"module(module-inline,lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,name-anon-globals,lower-emutls,0.001645416,0.001628843,0.010072255,"module(name-anon-globals,lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,openmp-opt-postlink,lower-emutls,0.001645416,0.001619873,0.015523686,"module(openmp-opt-postlink,lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,pre-isel-intrinsic-lowering,lower-emutls,0.001645416,0.001624615,0.012641772,"module(pre-isel-intrinsic-lowering,lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(alignment-from-assumptions),lower-emutls,0.001645416,0.001619271,0.015889506,"module(function(alignment-from-assumptions),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(interleaved-access),lower-emutls,0.001645416,0.001596967,0.029445066,"module(function(interleaved-access),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(loop-versioning),lower-emutls,0.001645416,0.001591191,0.032955582,"module(function(loop-versioning),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(replace-with-veclib),lower-emutls,0.001645416,0.001616318,0.017684273,"module(function(replace-with-veclib),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(speculative-execution),lower-emutls,0.001645416,0.001622405,0.013984926,"module(function(speculative-execution),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(win-eh-prepare),lower-emutls,0.001645416,0.001626129,0.011721811,"module(function(win-eh-prepare),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(loop(evl-iv-simplify)),lower-emutls,0.001645416,0.001615618,0.018109873,"module(function(loop(evl-iv-simplify)),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(loop(loop-predication)),lower-emutls,0.001645416,0.001621186,0.014725864,"module(function(loop(loop-predication)),lower-emutls)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,name-anon-globals,partial-inliner,0.001653688,0.001633436,0.012246454,"module(name-anon-globals,partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,openmp-opt,partial-inliner,0.001653688,0.001610744,0.025968132,"module(openmp-opt,partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,partial-inliner,partial-inliner,0.001653688,0.001623901,0.018012186,"module(partial-inliner,partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,strip-nonlinetable-debuginfo,partial-inliner,0.001653688,0.001626039,0.016719076,"module(strip-nonlinetable-debuginfo,partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,cgscc(attributor-light-cgscc),partial-inliner,0.001653688,0.001633697,0.012088555,"module(cgscc(attributor-light-cgscc),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,cgscc(openmp-opt-cgscc),partial-inliner,0.001653688,0.001627834,0.015634091,"module(cgscc(openmp-opt-cgscc),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(callbr-prepare),partial-inliner,0.001653688,0.001625194,0.017230265,"module(function(callbr-prepare),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(dwarf-eh-prepare),partial-inliner,0.001653688,0.001623293,0.018380061,"module(function(dwarf-eh-prepare),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(instnamer),partial-inliner,0.001653688,0.001595202,0.035367015,"module(function(instnamer),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(interleaved-load-combine),partial-inliner,0.001653688,0.001606516,0.028524993,"module(function(interleaved-load-combine),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(irce),partial-inliner,0.001653688,0.001628776,0.015064330,"module(function(irce),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(redundant-dbg-inst-elim),partial-inliner,0.001653688,0.001623813,0.018065311,"module(function(redundant-dbg-inst-elim),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(sink),partial-inliner,0.001653688,0.001596596,0.034523750,"module(function(sink),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(ee-instrument),partial-inliner,0.001653688,0.001619947,0.020403122,"module(function(ee-instrument),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(loop(indvars)),partial-inliner,0.001653688,0.001604504,0.029741984,"module(function(loop(indvars)),partial-inliner)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(simplifycfg),strip-debug-declare,0.001584137,0.001567900,0.010249862,"module(function(simplifycfg),strip-debug-declare)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,scc-oz-module-inliner,global-merge,0.001617689,0.001593244,0.015110983,"module(scc-oz-module-inliner,global-merge)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,hotcoldsplit,function(correlated-propagation),0.001648848,0.001607338,0.025175169,"module(hotcoldsplit,function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,rpo-function-attrs,function(correlated-propagation),0.001648848,0.001628746,0.012191442,"module(rpo-function-attrs,function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(annotation-remarks),function(correlated-propagation),0.001648848,0.001591176,0.034976763,"module(function(annotation-remarks),function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(infer-alignment),function(correlated-propagation),0.001648848,0.001630834,0.010925342,"module(function(infer-alignment),function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(irce),function(correlated-propagation),0.001648848,0.001628082,0.012594159,"module(function(irce),function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(libcalls-shrinkwrap),function(correlated-propagation),0.001648848,0.001631450,0.010551466,"module(function(libcalls-shrinkwrap),function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(separate-const-offset-from-gep),function(correlated-propagation),0.001648848,0.001631487,0.010528951,"module(function(separate-const-offset-from-gep),function(correlated-propagation))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(alignment-from-assumptions),function(div-rem-pairs),0.001639401,0.001583996,0.033795851,"module(function(alignment-from-assumptions),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(extra-vector-passes),function(div-rem-pairs),0.001639401,0.001600308,0.023846106,"module(function(extra-vector-passes),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(kernel-info),function(div-rem-pairs),0.001639401,0.001611794,0.016839720,"module(function(kernel-info),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(lcssa),function(div-rem-pairs),0.001639401,0.001603017,0.022193988,"module(function(lcssa),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(load-store-vectorizer),function(div-rem-pairs),0.001639401,0.001588525,0.031033570,"module(function(load-store-vectorizer),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(loop-simplify),function(div-rem-pairs),0.001639401,0.001588422,0.031096099,"module(function(loop-simplify),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(lower-constant-intrinsics),function(div-rem-pairs),0.001639401,0.001602924,0.022250552,"module(function(lower-constant-intrinsics),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(place-safepoints),function(div-rem-pairs),0.001639401,0.001613020,0.016092360,"module(function(place-safepoints),function(div-rem-pairs))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,wholeprogramdevirt,function(expand-memcmp),0.001642300,0.001621408,0.012721097,"module(wholeprogramdevirt,function(expand-memcmp))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(bdce),function(expand-memcmp),0.001642300,0.001610707,0.019236814,"module(function(bdce),function(expand-memcmp))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(consthoist),function(expand-memcmp),0.001642300,0.001599642,0.025974594,"module(function(consthoist),function(expand-memcmp))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(instsimplify),function(expand-reductions),0.001649442,0.001631530,0.010859736,"module(function(instsimplify),function(expand-reductions))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(lower-switch),function(expand-reductions),0.001649442,0.001611548,0.022973909,"module(function(lower-switch),function(expand-reductions))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(memcpyopt),function(expand-reductions),0.001649442,0.001600581,0.029623085,"module(function(memcpyopt),function(expand-reductions))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(mergereturn),function(expand-reductions),0.001649442,0.001606094,0.026280530,"module(function(mergereturn),function(expand-reductions))"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,function(objc-arc-expand),function(expand-reductions),0.001649442,0.001628947,0.012425552,"module(function(objc-arc-expand),function(expand-reductions))"
