filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,always-inline,annotation2metadata,0.002049560,0.001900309,0.072820791,"module(always-inline,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,annotation2metadata,annotation2metadata,0.002049560,0.001854926,0.094963890,"module(annotation2metadata,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,assign-guid,annotation2metadata,0.002049560,0.001947078,0.050001768,"module(assign-guid,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,called-value-propagation,annotation2metadata,0.002049560,0.001892679,0.076543939,"module(called-value-propagation,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,canonicalize-aliases,annotation2metadata,0.002049560,0.001917929,0.064223899,"module(canonicalize-aliases,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,constmerge,annotation2metadata,0.002049560,0.001932021,0.057348407,"module(constmerge,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,coro-cleanup,annotation2metadata,0.002049560,0.001843281,0.100645658,"module(coro-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,coro-early,annotation2metadata,0.002049560,0.001895715,0.075062315,"module(coro-early,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cross-dso-cfi,annotation2metadata,0.002049560,0.001954806,0.046231375,"module(cross-dso-cfi,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,ctx-prof-flatten,annotation2metadata,0.002049560,0.001954193,0.046530380,"module(ctx-prof-flatten,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,noinline-nonprevailing,annotation2metadata,0.002049560,0.001893443,0.076170699,"module(noinline-nonprevailing,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,declare-runtime-libcalls,annotation2metadata,0.002049560,0.001939354,0.053770483,"module(declare-runtime-libcalls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,dxil-upgrade,annotation2metadata,0.002049560,0.001925519,0.060520971,"module(dxil-upgrade,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,extract-blocks,annotation2metadata,0.002049560,0.001980268,0.033807943,"module(extract-blocks,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,forceattrs,annotation2metadata,0.002049560,0.001805252,0.119200283,"module(forceattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,global-merge-func,annotation2metadata,0.002049560,0.001962643,0.042407531,"module(global-merge-func,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,globalopt,annotation2metadata,0.002049560,0.001877943,0.083733583,"module(globalopt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,hipstdpar-interpose-alloc,annotation2metadata,0.002049560,0.001844339,0.100129353,"module(hipstdpar-interpose-alloc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,hotcoldsplit,annotation2metadata,0.002049560,0.001997897,0.025206900,"module(hotcoldsplit,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,inferattrs,annotation2metadata,0.002049560,0.001952950,0.047137044,"module(inferattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,inliner-wrapper,annotation2metadata,0.002049560,0.001810259,0.116757330,"module(inliner-wrapper,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,inliner-wrapper-no-mandatory-first,annotation2metadata,0.002049560,0.001938912,0.053986215,"module(inliner-wrapper-no-mandatory-first,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,lower-emutls,annotation2metadata,0.002049560,0.001778482,0.132261640,"module(lower-emutls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,lower-global-dtors,annotation2metadata,0.002049560,0.001797694,0.122887879,"module(lower-global-dtors,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,lower-ifunc,annotation2metadata,0.002049560,0.001975631,0.036070564,"module(lower-ifunc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,simplify-type-tests,annotation2metadata,0.002049560,0.001751877,0.145242110,"module(simplify-type-tests,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,lowertypetests,annotation2metadata,0.002049560,0.001808293,0.117716646,"module(lowertypetests,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,fatlto-cleanup,annotation2metadata,0.002049560,0.001915787,0.065268986,"module(fatlto-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,mergefunc,annotation2metadata,0.002049560,0.001981831,0.033045506,"module(mergefunc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,name-anon-globals,annotation2metadata,0.002049560,0.001829368,0.107433936,"module(name-anon-globals,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,openmp-opt,annotation2metadata,0.002049560,0.001735785,0.153093943,"module(openmp-opt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,openmp-opt-postlink,annotation2metadata,0.002049560,0.001734354,0.153791966,"module(openmp-opt-postlink,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,partial-inliner,annotation2metadata,0.002049560,0.001978528,0.034656927,"module(partial-inliner,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,pre-isel-intrinsic-lowering,annotation2metadata,0.002049560,0.001791398,0.125959752,"module(pre-isel-intrinsic-lowering,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,recompute-globalsaa,annotation2metadata,0.002049560,0.001972501,0.037597690,"module(recompute-globalsaa,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,rel-lookup-table-converter,annotation2metadata,0.002049560,0.001882234,0.081639714,"module(rel-lookup-table-converter,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,rewrite-symbols,annotation2metadata,0.002049560,0.001911848,0.067190858,"module(rewrite-symbols,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,rpo-function-attrs,annotation2metadata,0.002049560,0.001824273,0.109919789,"module(rpo-function-attrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,scc-oz-module-inliner,annotation2metadata,0.002049560,0.001796850,0.123299732,"module(scc-oz-module-inliner,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,strip,annotation2metadata,0.002049560,0.001936492,0.055166757,"module(strip,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,strip-dead-debug-info,annotation2metadata,0.002049560,0.001992502,0.027839012,"module(strip-dead-debug-info,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,strip-dead-prototypes,annotation2metadata,0.002049560,0.001981664,0.033127254,"module(strip-dead-prototypes,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,strip-debug-declare,annotation2metadata,0.002049560,0.001789706,0.126785198,"module(strip-debug-declare,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,strip-nondebug,annotation2metadata,0.002049560,0.001895860,0.074991622,"module(strip-nondebug,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,strip-dead-cg-profile,annotation2metadata,0.002049560,0.001871327,0.086961443,"module(strip-dead-cg-profile,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,wholeprogramdevirt,annotation2metadata,0.002049560,0.001810469,0.116654621,"module(wholeprogramdevirt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cg-profile,annotation2metadata,0.002049560,0.001994169,0.027025718,"module(cg-profile,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,global-merge,annotation2metadata,0.002049560,0.001914625,0.065836214,"module(global-merge,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,embed-bitcode,annotation2metadata,0.002049560,0.001872728,0.086278178,"module(embed-bitcode,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,ipsccp,annotation2metadata,0.002049560,0.001906988,0.069561958,"module(ipsccp,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,loop-extract,annotation2metadata,0.002049560,0.001875148,0.085097118,"module(loop-extract,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cgscc(argpromotion),annotation2metadata,0.002049560,0.001909575,0.068300172,"module(cgscc(argpromotion),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cgscc(attributor-light-cgscc),annotation2metadata,0.002049560,0.001745619,0.148295632,"module(cgscc(attributor-light-cgscc),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cgscc(openmp-opt-cgscc),annotation2metadata,0.002049560,0.001939891,0.053508327,"module(cgscc(openmp-opt-cgscc),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cgscc(coro-annotation-elide),annotation2metadata,0.002049560,0.001954819,0.046224837,"module(cgscc(coro-annotation-elide),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cgscc(coro-split),annotation2metadata,0.002049560,0.001903736,0.071149066,"module(cgscc(coro-split),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,cgscc(inline),annotation2metadata,0.002049560,0.001836526,0.103941120,"module(cgscc(inline),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(adce),annotation2metadata,0.002049560,0.002021219,0.013827699,"module(function(adce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(assume-builder),annotation2metadata,0.002049560,0.001868308,0.088434703,"module(function(assume-builder),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(assume-simplify),annotation2metadata,0.002049560,0.001984173,0.031902847,"module(function(assume-simplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(atomic-expand),annotation2metadata,0.002049560,0.001951766,0.047714714,"module(function(atomic-expand),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(bdce),annotation2metadata,0.002049560,0.001987516,0.030271678,"module(function(bdce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(callsite-splitting),annotation2metadata,0.002049560,0.001975109,0.036325204,"module(function(callsite-splitting),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(chr),annotation2metadata,0.002049560,0.001884315,0.080624684,"module(function(chr),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(complex-deinterleaving),annotation2metadata,0.002049560,0.002020901,0.013982902,"module(function(complex-deinterleaving),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(consthoist),annotation2metadata,0.002049560,0.001886500,0.079558684,"module(function(consthoist),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(constraint-elimination),annotation2metadata,0.002049560,0.001888745,0.078463278,"module(function(constraint-elimination),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(coro-elide),annotation2metadata,0.002049560,0.001854661,0.095092894,"module(function(coro-elide),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(correlated-propagation),annotation2metadata,0.002049560,0.001920479,0.062979712,"module(function(correlated-propagation),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(dce),annotation2metadata,0.002049560,0.002027509,0.010758927,"module(function(dce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(declare-to-assign),annotation2metadata,0.002049560,0.001857239,0.093835384,"module(function(declare-to-assign),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(dfa-jump-threading),annotation2metadata,0.002049560,0.001848332,0.098181059,"module(function(dfa-jump-threading),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(expand-memcmp),annotation2metadata,0.002049560,0.002016958,0.015906853,"module(function(expand-memcmp),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(expand-reductions),annotation2metadata,0.002049560,0.001866396,0.089367535,"module(function(expand-reductions),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(extra-vector-passes),annotation2metadata,0.002049560,0.001954873,0.046198775,"module(function(extra-vector-passes),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(fix-irreducible),annotation2metadata,0.002049560,0.001689064,0.175889348,"module(function(fix-irreducible),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(float2int),annotation2metadata,0.002049560,0.001891894,0.076926840,"module(function(float2int),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(gc-lowering),annotation2metadata,0.002049560,0.001710920,0.165225734,"module(function(gc-lowering),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(guard-widening),annotation2metadata,0.002049560,0.001837802,0.103318886,"module(function(guard-widening),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(gvn-hoist),annotation2metadata,0.002049560,0.001877390,0.084003121,"module(function(gvn-hoist),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(indirectbr-expand),annotation2metadata,0.002049560,0.001931021,0.057836427,"module(function(indirectbr-expand),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(infer-address-spaces),annotation2metadata,0.002049560,0.001855211,0.094824896,"module(function(infer-address-spaces),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(infer-alignment),annotation2metadata,0.002049560,0.001730853,0.155500402,"module(function(infer-alignment),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(inject-tli-mappings),annotation2metadata,0.002049560,0.001866180,0.089473023,"module(function(inject-tli-mappings),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(instnamer),annotation2metadata,0.002049560,0.001937221,0.054811001,"module(function(instnamer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(instsimplify),annotation2metadata,0.002049560,0.001704913,0.168156308,"module(function(instsimplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(interleaved-access),annotation2metadata,0.002049560,0.001837334,0.103547201,"module(function(interleaved-access),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lcssa),annotation2metadata,0.002049560,0.001866843,0.089149262,"module(function(lcssa),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(libcalls-shrinkwrap),annotation2metadata,0.002049560,0.001788321,0.127460846,"module(function(libcalls-shrinkwrap),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(load-store-vectorizer),annotation2metadata,0.002049560,0.001962057,0.042693558,"module(function(load-store-vectorizer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-data-prefetch),annotation2metadata,0.002049560,0.001813068,0.115386460,"module(function(loop-data-prefetch),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-distribute),annotation2metadata,0.002049560,0.001814711,0.114585270,"module(function(loop-distribute),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-load-elim),annotation2metadata,0.002049560,0.001838029,0.103207877,"module(function(loop-load-elim),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-simplify),annotation2metadata,0.002049560,0.001937237,0.054803231,"module(function(loop-simplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-sink),annotation2metadata,0.002049560,0.001642825,0.198449880,"module(function(loop-sink),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-versioning),annotation2metadata,0.002049560,0.001738936,0.151556163,"module(function(loop-versioning),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-atomic),annotation2metadata,0.002049560,0.001943019,0.051982491,"module(function(lower-atomic),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-constant-intrinsics),annotation2metadata,0.002049560,0.001870075,0.087572226,"module(function(lower-constant-intrinsics),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-expect),annotation2metadata,0.002049560,0.001892814,0.076477589,"module(function(lower-expect),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-guard-intrinsic),annotation2metadata,0.002049560,0.001771688,0.135576331,"module(function(lower-guard-intrinsic),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-invoke),annotation2metadata,0.002049560,0.001758139,0.142186829,"module(function(lower-invoke),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-switch),annotation2metadata,0.002049560,0.001714592,0.163434202,"module(function(lower-switch),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-widenable-condition),annotation2metadata,0.002049560,0.001852885,0.095959409,"module(function(lower-widenable-condition),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(make-guards-explicit),annotation2metadata,0.002049560,0.002009688,0.019453697,"module(function(make-guards-explicit),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(mergereturn),annotation2metadata,0.002049560,0.002018532,0.015138889,"module(function(mergereturn),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(nary-reassociate),annotation2metadata,0.002049560,0.001938383,0.054244390,"module(function(nary-reassociate),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(objc-arc-expand),annotation2metadata,0.002049560,0.001861881,0.091570442,"module(function(objc-arc-expand),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(place-safepoints),annotation2metadata,0.002049560,0.001997786,0.025261198,"module(function(place-safepoints),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(gvn),annotation2metadata,0.002049560,0.001988155,0.029960185,"module(function(gvn),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(instcombine),annotation2metadata,0.002049560,0.001973746,0.036990246,"module(function(instcombine),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-vectorize),annotation2metadata,0.002049560,0.001983477,0.032242288,"module(function(loop-vectorize),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(lower-allow-check),annotation2metadata,0.002049560,0.001851937,0.096422100,"module(function(lower-allow-check),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(mldst-motion),annotation2metadata,0.002049560,0.001975590,0.036090767,"module(function(mldst-motion),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(scalarizer),annotation2metadata,0.002049560,0.001954085,0.046582879,"module(function(scalarizer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(simplifycfg),annotation2metadata,0.002049560,0.001926496,0.060044179,"module(function(simplifycfg),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(sroa),annotation2metadata,0.002049560,0.001976404,0.035693470,"module(function(sroa),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(expand-fp),annotation2metadata,0.002049560,0.002024145,0.012400276,"module(function(expand-fp),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(canon-freeze)),annotation2metadata,0.002049560,0.001853443,0.095687519,"module(function(loop(canon-freeze)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(guard-widening)),annotation2metadata,0.002049560,0.001922352,0.062066023,"module(function(loop(guard-widening)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(indvars)),annotation2metadata,0.002049560,0.001930142,0.058265330,"module(function(loop(indvars)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(loop-bound-split)),annotation2metadata,0.002049560,0.001996967,0.025660650,"module(function(loop(loop-bound-split)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(loop-deletion)),annotation2metadata,0.002049560,0.001990365,0.028881873,"module(function(loop(loop-deletion)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(loop-predication)),annotation2metadata,0.002049560,0.002003518,0.022464142,"module(function(loop(loop-predication)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(loop-simplifycfg)),annotation2metadata,0.002049560,0.002026788,0.011110474,"module(function(loop(loop-simplifycfg)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(loop-unroll-full)),annotation2metadata,0.002049560,0.001864104,0.090485779,"module(function(loop(loop-unroll-full)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(loop-rotate)),annotation2metadata,0.002049560,0.001949513,0.048813902,"module(function(loop(loop-rotate)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,name-anon-globals,assign-guid,0.001776490,0.001755628,0.011743149,"module(name-anon-globals,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(extra-vector-passes),assign-guid,0.001776490,0.001750312,0.014735501,"module(function(extra-vector-passes),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(interleaved-access),assign-guid,0.001776490,0.001711987,0.036309419,"module(function(interleaved-access),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop-data-prefetch),assign-guid,0.001776490,0.001683682,0.052242517,"module(function(loop-data-prefetch),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(expand-fp),assign-guid,0.001776490,0.001740884,0.020043064,"module(function(expand-fp),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_if.pass_-O2.ll,0.002086508,function(loop(extra-simple-loop-unswitch-passes)),assign-guid,0.001776490,0.001598200,0.100360528,"module(function(loop(extra-simple-loop-unswitch-passes)),assign-guid)"
